,Links
38,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3989/21/8214_ESE_DEC21_SOCS__3_BTec-CSE-AIM_CSAI2007_Introduction%20to%20Artificial%20Intelligence.pdf
39,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3989/20/8213_ESE_DEC21_SOCS__3_BTec-CSE-AIM_CSEG2036P_Probability%20%26%20Statistics%20for%20Engineers.pdf
40,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3989/19/8212_ESE_DEC21_SOCS__3_BTec-CSE-AIM_CSEG2021_Design%20%26%20Analysis%20of%20Algorithm.pdf
41,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3989/18/8211_ESE_DEC21_SOCS__3_BTec-CSE-AIM_CSEG2020_Object%20Oriented%20Programming.pdf
42,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3989/17/8210_ESE_DEC21_SOCS__3_BTec-CSE-AIM_CSEG2008_Software%20Engineering%20%26%20Project%20Mgmt..pdf
43,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3348/6/ESE_DEC2020_SOCS_B%20TECH%20CSE%20AI%26ML_SEM%20III_CSEG2017_ADVANCED%20DATABASE%20MANAGEMENT%20SYSTEMS.pdf
44,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3348/5/ESE_DEC2020_SOCS_B%20TECH%20CSE%20AI%26ML_SEM%20III_CSEG2007_OPERATING%20SYSTEMS.pdf
45,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3348/4/ESE_DEC2020_SOCS_B%20TECH%20CSE%20AI%26ML_SEM%20III_CSEG2006_DISCRETE%20MATHEMATICAL%20STRUCTURES.pdf
46,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3348/3/ESE_DEC2020_SOCS_B%20TECH%20CSE%20AI%26ML_SEM%20III_CSEG2003_DESIGN%20AND%20ANALYSIS%20OF%20ALGORITHMS.pdf
47,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3348/2/ESE_DEC2020_SOCS_B%20TECH%20CSE%20AI%26ML_SEM%20III_CSAI2005_DATA%20MINING%20AND%20PREDICTION%20BY%20MACHINES.pdf
48,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2919/1/B%20TECH%20%28CS%2bAll%20IBM%20courses-III-Formal%20Languages%20and%20Automata%20Theory.pdf
49,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2919/2/B%20TECH%20CSE-All%20SoCS%20branches-III-Discrete%20Mathematical%20Structures.pdf
50,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2919/4/B%20TECH%28CSE%2bAI%26ML%29-III-Machine%20Learning.pdf
51,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2919/22/B.Tech%20CSE%2bAll%20-III-Design%20and%20Analysis%20of%20Algorithms.pdf
52,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2919/24/B.Tech.%20CSE-%20All%20IBM%20%2b%20Xebia%20Branches%29-III-Operating%20Systems.pdf
53,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2919/26/B.Tech.-CSE%20with%20all%20specialization-III-Advanced%20Database%20Management%20Systems.pdf
54,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2731/10/4-E-DiscreteMathematicalStructures_20171128112515.591_X.pdf
55,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2731/101/5-E-DesignandAnalysisofAlgorithms_20171124061259.305_X_3.pdf
56,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2731/419/8-E-AdvancedDatabaseManagementSystems_20171130124311.783_X_201711301243.pdf
57,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2731/493/11-E-ComputerSystemArchitecture_20171205160053.202_X_202.pdf
58,
59,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3566/37/ESE_MAY21_SOCS_IV_BTec-CSE-AIM_CSEG2016_Object%20Oriented%20Programming.pdf
60,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3566/36/ESE_MAY21_SOCS_IV_BTec-CSE-AIM_CSEG2009_Data%20Communication%20and%20Computer%20Networks.pdf
61,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3566/35/ESE_MAY21_SOCS_IV_BTec-CSE-AIM_CSEG2008_Software%20Engineering%20and%20Project%20Management.pdf
62,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3566/34/ESE_MAY21_SOCS_IV_BTec-CSE-AIM_CSAI2006_Introduction%20to%20Machine%20Learning.pdf
63,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3566/33/ESE_MAY21_SOCS_IV_BTec-CSE-AIM_CSAI2004_Algorithm%20for%20Intelligent%20Systems%20and%20Robotics.pdf
64,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3313/80/ESE%20NGB%20B%20TECH%28CSE%2bAI%26ML%29%20IV%20CSEG2008%20Software%20Engineering%20%26%20Project%20Mgmt..pdf
65,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3313/79/ESE%20NGB%20B%20TECH%28CSE%2bAI%26ML%29%20IV%20CSEG2009%20Data%20Communication%20and%20Computer%20Networks.pdf
66,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3313/78/ESE%20NGB%20B%20TECH%28CSE%2bAI%26ML%29%20IV%20CSAI2004%20Algorithm%20for%20Intelligent%20System%26Robotic.pdf
67,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3313/76/ESE%20NGB%20B%20TECH%28CSE%2bAI%26ML%29%20IV%20CSAI2005%20Data%20Mining%20and%20prediction%20by%20machines.pdf
68,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3313/1/ESE%20NGB%20B%20TECH%28CSE%2bAI%26ML%29%20IV%20CSEG2016%20Object%20Oriented%20Programming.pdf
69,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2723/85/13-E-Advance%20programming%20using%20java-updated.pdf
70,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2723/112/9-M-IV-SoftwareEngineering%26ProjectMgmt._20190413091458.005_X_20190413091.pdf
71,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2723/138/7-M-DataCommunication%26Networks_UPDATED.pdf
72,
73,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3990/67/8166_ESE_DEC21_SOCS__5_BTec-CSE-AIM_CSAI3007_Pattern%20and%20Anomaly%20Detection.pdf
74,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3990/66/8165_ESE_DEC21_SOCS__5_BTec-CSE-AIM_CSAI3006_Application%20of%20ML%20in%20Industries.pdf
75,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3990/65/8164_ESE_DEC21_SOCS__5_BTec-CSE-AIM_CSIS2001P_Introduction%20to%20Internet%20of%20Things.pdf
76,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3990/64/8163_ESE_DEC21_SOCS__5_BTec-CSE-AIM_CSEG3015_Compiler%20Design.pdf
77,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3990/63/8162_ESE_DEC21_SOCS__5_BTec-CSE-AIM_CSEG3003_Computer%20Graphics.pdf
78,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3990/62/8161_ESE_DEC21_SOCS__5_BTec-CSE-AIM_CSEG3002_Object%20Oriented%20Analysis%20and%20Design.pdf
79,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3349/93/ESE_DEC2020_SOCS_B%20TECH%20CSE%20AI%26ML_SEM%20V_CSIS2001P_INTRODUCTION%20TO%20INTERNET%20OF%20THINGS.pdf
80,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3349/92/ESE_DEC2020_SOCS_B%20TECH%20CSE%20AI%26ML_SEM%20V_CSEG3024P_COMPUTATIONAL%20LINGUISTICS%20AND%20NATURAL%20LANGUAGE%20PROCESSING.pdf
81,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3349/91/ESE_DEC2020_SOCS_B%20TECH%20CSE%20AI%26ML_SEM%20V_CSEG3015_COMPILER%20DESIGN.pdf
82,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3349/90/ESE_DEC2020_SOCS_B%20TECH%20CSE%20AI%26ML_SEM%20V_CSEG3003_COMPUTER%20GRAPHICS.pdf
83,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3349/89/ESE_DEC2020_SOCS_B%20TECH%20CSE%20AI%26ML_SEM%20V_CSEG3002_OBJECT%20ORIENTED%20ANALYSIS%20AND%20DESIGN.pdf
84,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3349/88/ESE_DEC2020_SOCS_B%20TECH%20CSE%20AI%26ML_SEM%20V_CSBA3009_COGNITIVE%20ANALYTICS.pdf
85,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3349/29/ESE_DEC2020_SOCS_B%20TECH%20CSE%20ECOMRA_SEM%20V_CSER3003_RETAIL%20ANALYTICS.pdf
86,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2920/2/B%20TECH%20CSE-ALL-V-FormalLanguagesandAutomataTheory.pdf
87,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2920/4/B%20TECH%20CSE-ALL-V-ObjectOrientedAnalysisandDesign.pdf
88,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2920/3/B%20TECH%20CSE-ALL-V-InformationRetrievalandSearchEngines.pdf
89,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2731/280/6-M-FormalLanguagesandAutomataTheory_20171202173933.605_X_2017120217393.pdf
90,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2731/364/7-M-.NETTechnologies_20171130123308.825_X.pdf
91,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2731/387/7-M-InformationRetrievalandSearchEngines_20171204163918.864_X.pdf
92,
93,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3567/35/ESE_MAY21_SOCS_VI_BTec-CSE-AIM_CSVT2001P_Introduction%20to%20Virtualization%20%26%20Cloud%20Computing.pdf
94,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3567/34/ESE_MAY21_SOCS_VI_BTec-CSE-AIM_CSEG3018_Micro%20Processor%20%26%20Embedded%20Systems.pdf
95,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3567/32/ESE_MAY21_SOCS_VI_BTec-CSE-AIM_CSAI3006_Application%20of%20machine%20learning%20in%20industries.pdf
96,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3567/31/ESE_MAY21_SOCS_VI_BTec-CSE-AIM_CSAI3001_Neural%20Networks.pdf
97,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3567/33/ESE_MAY21_SOCS_VI_BTec-CSE-AIM_CSAI3007_Pattern%20and%20Anomaly%20Detection.pdf
98,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3350/1/ESE_DEC2020_SOCS_B%20TECH%20CSE%20OS%26OS_SEM%20III_CSEG3004_FORMAL%20LANGUAGES%20AND%20AUTOMATA%20THEORY.pdf
99,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3312/6/ESE%20NGB%20B%20TECH%28CSE%2bALL%20SOCS%29%20VI%20CSEG3006%20Micro%20Processor%20%26%20Embedded%20Systems.pdf
100,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2723/132/8-E-VI-MicroProcessor%26EmbeddedSystems_20190412062637.384_X_201904120626.pdf
101,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2723/135/8-E-computer%20graphics-updated.pdf
102,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2723/164/6-E-Artificial%20Intelligence-updated.pdf
103,
104,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3992/26/8075_ESE_DEC21_SOCS__7_BTec-CSE-AIM_CSVT4004P_Cloud%20Architecture%20%26%20Deployment%20Models.pdf
105,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3992/24/8073_ESE_DEC21_SOCS__7_BTec-CSE-AIM_CSBD4007_Deep%20Learning%20Fundamentals.pdf
106,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3992/23/8072_ESE_DEC21_SOCS__7_BTec-CSE-AIM_CSBA4015P_Data%20Analytics%20for%20IoT.pdf
107,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3992/22/8071_ESE_DEC21_SOCS__7_BTec-CSE-AIM_CSEG4001_Cryptography%20and%20Network%20Security.pdf
108,
109,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3316/10/C1%20ESE%20GB%20BTECH%20CSE%20MT%20VIII%20CSIB493%20Backup%20and%20DR.pdf
110,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2723/123/9-E-CSIB%20480%20Social%20Analytics-updated.pdf
111,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2723/127/9-E-BACKUP%26DR-UPDATED.pdf
